bin_left,bin_right,actual_count,predicted_count
410.2175269194429,429.7202620560368,2,0
429.7202620560368,449.2229971926307,13,1
449.2229971926307,468.72573232922457,26,20
468.72573232922457,488.2284674658185,19,21
488.2284674658185,507.7312026024124,12,14
507.7312026024124,527.2339377390063,18,17
527.2339377390063,546.7366728756002,20,17
546.7366728756002,566.2394080121941,19,29
566.2394080121941,585.742143148788,19,16
585.742143148788,605.2448782853819,14,21
605.2448782853819,624.7476134219758,11,18
624.7476134219758,644.2503485585697,11,19
644.2503485585697,663.7530836951636,4,12
663.7530836951636,683.2558188317576,3,9
683.2558188317576,702.7585539683514,4,2
702.7585539683514,722.2612891049453,5,0
722.2612891049453,741.7640242415392,4,0
741.7640242415392,761.2667593781332,3,0
761.2667593781332,780.7694945147271,0,0
780.7694945147271,800.2722296513209,0,0
800.2722296513209,819.7749647879148,4,0
819.7749647879148,839.2776999245087,1,0
839.2776999245087,858.7804350611027,1,0
858.7804350611027,878.2831701976966,0,0
878.2831701976966,897.7859053342904,3,0
